community_area,adult_fruit_and_vegetable_servings_rate
35,37.5
36,25.1
38,32.0
39,35.2
4,44.1
40,25.0
41,29.4
42,23.3
1,37.3
11,31.2
12,40.4
13,30.8
14,29.1
15,34.4
16,27.5
17,17.7
18,33.1
19,18.9
2,23.6
20,25.7
21,27.3
22,36.9
23,13.9
24,30.4
25,17.3
26,23.1
27,25.2
28,27.7
29,15.0
3,30.0
30,14.1
31,37.6
33,25.5
10,19.9
8,35.3
32,34.2
43,26.2
44,26.2
45,9.3
46,22.1
48,24.9
49,16.9
5,31.1
50,36.6
51,20.0
52,27.9
53,17.1
55,27.1
56,27.3
58,23.3
59,25.7
6,39.5
60,31.1
61,21.4
62,21.2
63,22.3
64,13.2
65,25.3
66,25.7
67,18.3
68,24.3
69,26.6
7,38.8
70,21.3
71,19.4
72,44.8
73,15.5
74,30.5
75,28.8
76,32.7
77,32.3
9,39.3
