community_area,low_food_access
35,36.5810693577971
36,7.80366305227681
37,97.1012332518511
38,10.537804854067
39,5.7702614420898
4,7.90276170553888
40,65.4569603204927
41,12.3591156858882
42,36.9212547535005
1,5.67896156655646
11,9.38820742416371
12,17.5198845533823
13,76.7781154091305
14,3.89779136284278
15,24.8257787002095
16,15.2155990232583
17,47.3604793817543
18,0.0758252634643147
19,0.00970678455631717
2,9.32642202852269
20,0.00156022376168676
21,0.00858381841740546
22,0.0104765477811148
23,16.4262630325303
24,0.61131394991469
25,32.4076171323229
26,0.0501227301129808
27,52.3356796509787
28,16.3899040761542
29,22.3385451747269
3,0.0159164152685014
30,4.79340288387538
31,12.095452726842
33,3.93455820464246
34,18.8411405047685
10,57.982295050679
8,0.00347276661890658
32,0.00345935920243558
43,57.5959879762995
44,55.0562111666794
45,19.1656069037685
46,25.3540326101423
47,94.2531011377957
48,40.1176905110561
49,66.6029013129088
5,15.9023273001898
50,77.8757988533393
51,70.7701693258621
52,23.527644813033
53,63.6690448179955
54,99.8478604652979
55,30.8941740962106
56,47.7369888879815
57,0.584612868227603
58,17.5886856693077
59,3.39383263658513
6,5.19481248042596
60,35.0811113563643
61,21.3747748946289
62,23.4935225660495
63,20.8708077124487
64,49.1477609721487
65,33.4765732598414
66,27.0809916982636
67,63.5006602236881
68,22.2534617002075
69,10.5555862885626
7,4.68280359213997
70,68.2132581272332
71,25.2419026015466
72,50.254538522419
73,64.8556030826281
74,62.7846679184914
75,32.3508556614186
76,75.7712840549324
77,0.00151651223009447
9,26.3903188152609
