community_area,year,crime_num
1,2015-2019,3816.8
2,2015-2019,3396.6
3,2015-2019,3658.8
4,2015-2019,1923.0
5,2015-2019,1422.8
6,2015-2019,5826.0
7,2015-2019,4320.8
8,2015-2019,10821.0
9,2015-2019,268.2
10,2015-2019,1229.6
11,2015-2019,1126.8
12,2015-2019,506.8
13,2015-2019,932.4
14,2015-2019,2458.0
15,2015-2019,3345.6
16,2015-2019,2947.4
17,2015-2019,1605.2
18,2015-2019,600.4
19,2015-2019,4729.2
20,2015-2019,1602.4
21,2015-2019,2327.6
22,2015-2019,5088.0
23,2015-2019,8336.8
24,2015-2019,7676.0
25,2015-2019,16732.0
26,2015-2019,5835.6
27,2015-2019,5212.6
28,2015-2019,8779.2
29,2015-2019,8908.4
30,2015-2019,4618.4
31,2015-2019,2583.6
32,2015-2019,9093.0
33,2015-2019,1891.4
34,2015-2019,1072.6
35,2015-2019,2619.2
36,2015-2019,671.2
37,2015-2019,884.6
38,2015-2019,3345.2
39,2015-2019,1463.0
40,2015-2019,2798.8
41,2015-2019,1681.8
42,2015-2019,3790.6
43,2015-2019,8810.8
44,2015-2019,6314.4
45,2015-2019,1333.6
46,2015-2019,4815.8
47,2015-2019,390.8
48,2015-2019,1454.2
49,2015-2019,6977.0
50,2015-2019,1158.8
51,2015-2019,1917.6
52,2015-2019,1275.0
53,2015-2019,4078.2
54,2015-2019,1315.0
55,2015-2019,605.8
56,2015-2019,1986.6
57,2015-2019,923.4
58,2015-2019,2549.0
59,2015-2019,1030.0
60,2015-2019,1633.8
61,2015-2019,4834.6
62,2015-2019,1038.8
63,2015-2019,2352.0
64,2015-2019,956.8
65,2015-2019,1995.4
66,2015-2019,6012.4
67,2015-2019,7256.4
68,2015-2019,6578.6
69,2015-2019,6612.6
70,2015-2019,2515.0
71,2015-2019,7696.6
72,2015-2019,945.0
73,2015-2019,3187.6
74,2015-2019,613.2
75,2015-2019,2105.2
76,2015-2019,1785.4
77,2015-2019,2484.6
1,2014-2018,3816.8
2,2014-2018,3396.6
3,2014-2018,3658.8
4,2014-2018,1923.0
5,2014-2018,1422.8
6,2014-2018,5826.0
7,2014-2018,4320.8
8,2014-2018,10821.0
9,2014-2018,268.2
10,2014-2018,1229.6
11,2014-2018,1126.8
12,2014-2018,506.8
13,2014-2018,932.4
14,2014-2018,2458.0
15,2014-2018,3345.6
16,2014-2018,2947.4
17,2014-2018,1605.2
18,2014-2018,600.4
19,2014-2018,4729.2
20,2014-2018,1602.4
21,2014-2018,2327.6
22,2014-2018,5088.0
23,2014-2018,8336.8
24,2014-2018,7676.0
25,2014-2018,16732.0
26,2014-2018,5835.6
27,2014-2018,5212.6
28,2014-2018,8779.2
29,2014-2018,8908.4
30,2014-2018,4618.4
31,2014-2018,2583.6
32,2014-2018,9093.0
33,2014-2018,1891.4
34,2014-2018,1072.6
35,2014-2018,2619.2
36,2014-2018,671.2
37,2014-2018,884.6
38,2014-2018,3345.2
39,2014-2018,1463.0
40,2014-2018,2798.8
41,2014-2018,1681.8
42,2014-2018,3790.6
43,2014-2018,8810.8
44,2014-2018,6314.4
45,2014-2018,1333.6
46,2014-2018,4815.8
47,2014-2018,390.8
48,2014-2018,1454.2
49,2014-2018,6977.0
50,2014-2018,1158.8
51,2014-2018,1917.6
52,2014-2018,1275.0
53,2014-2018,4078.2
54,2014-2018,1315.0
55,2014-2018,605.8
56,2014-2018,1986.6
57,2014-2018,923.4
58,2014-2018,2549.0
59,2014-2018,1030.0
60,2014-2018,1633.8
61,2014-2018,4834.6
62,2014-2018,1038.8
63,2014-2018,2352.0
64,2014-2018,956.8
65,2014-2018,1995.4
66,2014-2018,6012.4
67,2014-2018,7256.4
68,2014-2018,6578.6
69,2014-2018,6612.6
70,2014-2018,2515.0
71,2014-2018,7696.6
72,2014-2018,945.0
73,2014-2018,3187.6
74,2014-2018,613.2
75,2014-2018,2105.2
76,2014-2018,1785.4
77,2014-2018,2484.6
