community_area,adult_fruit_and_vegetable_servings_rate,adult_soda_consumption_rate,low_food_access,poverty_rate,crime_rate,population
35,37.5,19.9,36.5810693577971,34.9312873573685,1395.904343620261,18763.463356
36,25.1,26.1,7.80366305227681,24.7303164501057,1516.685261204619,4425.440249
38,32.0,26.7,10.537804854067,29.0246827516973,1477.7771761564434,22636.700945
39,35.2,17.4,5.7702614420898,19.431431303602,1030.1809399684232,14201.388739
4,44.1,8.6,7.90276170553888,8.16097667454616,457.48851746483217,42033.841869
40,25.0,60.1,65.4569603204927,37.1842735540573,2551.5443660235164,10969.043052
41,29.4,8.2,12.3591156858882,20.8223756840121,747.8692828263262,22487.887103
42,23.3,34.2,36.9212547535005,35.5076121813165,1653.6493696198277,22922.634445
1,37.3,16.5,5.67896156655646,24.9258198983455,726.2734728420107,52553.206784
11,31.2,24.4,9.38820742416371,9.81145392962761,410.1129182106753,27475.359833
12,40.4,17.5,17.5198845533823,4.41424240534286,261.75579275976594,19361.55814
13,30.8,15.9,76.7781154091305,11.3278170060913,493.4213535415649,18896.628476
14,29.1,24.9,3.89779136284278,14.3426627384499,492.1732279473642,49941.765631
15,34.4,19.6,24.8257787002095,9.39921336647777,518.0621124857392,64579.129015
16,27.5,19.1,15.2155990232583,8.70421881562031,551.2419597412276,53468.353559
17,17.7,31.5,47.3604793817543,6.9598650419721,369.85342044239337,43400.977557
18,33.1,21.2,0.0758252634643147,11.6889146001058,419.70766540703136,14305.195008
19,18.9,24.8,0.0097067845563171,15.7922978934644,601.3026367427414,78649.247667
2,23.6,17.0,9.32642202852269,19.520282091658,432.9956707831557,78444.202314
20,25.7,33.0,0.0015602237616867,16.4582651730274,680.8824243885526,23534.165997
21,27.3,14.7,0.0085838184174054,14.321270625066,610.4832016177774,38127.175225
22,36.9,18.1,0.0104765477811148,11.3164168289958,702.6630899358915,72410.235757
23,13.9,33.0,16.4262630325303,26.6808956070045,1514.4238047009712,55049.319577
24,30.4,19.7,0.61131394991469,10.8919416610081,906.09896315686,84714.808339
25,17.3,35.9,32.4076171323229,25.3834501888885,1781.124262062243,93940.666333
26,23.1,47.3,0.0501227301129808,39.0036085963692,3555.065181018046,16414.888906
27,25.2,30.1,52.3356796509787,44.3511986623673,2750.6080955288626,18950.718601
28,27.7,19.1,16.3899040761542,25.4373414697025,1387.3557000735864,63280.09464
29,15.0,44.0,22.3385451747269,38.13909172783,2776.371852033223,32086.480035
3,30.0,18.8,0.0159164152685014,17.6657769265917,681.8065276662109,53663.317254
30,14.1,30.0,4.79340288387538,27.9704984354139,640.6313490768911,72091.383081
31,37.6,25.4,12.095452726842,15.4104922940335,781.7241434085413,33050.021824
33,25.5,11.9,3.93455820464246,10.2572695971698,954.7700221437068,19810.006139
10,19.9,6.7,57.982295050679,6.70165307442226,317.9230158214886,38676.029693
8,35.3,15.8,0.0034727666189065,9.42543598801634,1279.4406080761814,84576.024332
32,34.2,18.8,0.0034593592024355,11.3817703092548,2528.7485917347503,35958.497534
43,26.2,38.2,57.5959879762995,31.09504774571,2013.6567226464335,43755.223524
44,26.2,27.4,55.0562111666794,23.7852291177321,2028.907096579346,31122.174153
45,9.3,50.8,19.1656069037685,20.8054281323115,1390.6930571783546,9589.463276
46,22.1,41.4,25.3540326101423,28.8380762548372,1699.74717665497,28332.448885
48,24.9,50.1,40.1176905110561,15.6659033164236,1136.2055543130996,12798.740461
49,16.9,33.2,66.6029013129088,23.4093236287476,1777.4442379449142,39252.989495
5,31.1,24.3,15.9023273001898,5.28934818053859,399.6289169462227,35603.029202
50,36.6,18.0,77.8757988533393,19.7431866194561,1683.96527870705,6881.377037
51,20.0,36.4,70.7701693258621,38.2696391576618,1238.1162616165711,15488.044697
52,27.9,49.4,23.527644813033,17.9197522098177,543.7389361760422,23448.75298
53,17.1,41.8,63.6690448179955,22.4085819475968,1527.396043918248,26700.344133
55,27.1,38.8,30.8941740962106,16.790797359054,672.8830831461282,9003.049938
56,27.3,39.8,47.7369888879815,8.4699102500327,535.2730641945016,37113.7674
58,23.3,36.5,17.5886856693077,23.7231680345542,574.7803223550214,44347.377613
59,25.7,25.9,3.39383263658513,19.2263800977928,678.1614260233616,15188.12425
6,39.5,11.5,5.19481248042596,7.92000613643862,646.0958577244375,90172.378144
60,31.1,24.7,35.0811113563643,14.6796024122489,473.7862970226452,34483.901503
61,21.4,42.3,21.3747748946289,24.8253252340754,1225.2370065325547,39458.488229
62,21.2,29.0,23.4935225660495,9.03198849307698,546.9516718542097,18992.537247
63,22.3,24.4,20.8708077124487,18.1911484944911,632.181121530904,37204.527625
64,13.2,38.8,49.1477609721487,8.76630636604595,382.441133089041,25018.229401
65,25.3,34.4,33.4765732598414,12.6670774835603,627.4861806765437,31799.903511
66,25.7,38.7,27.0809916982636,24.2472780776969,1174.7008293545584,51182.393421
67,18.3,36.3,63.5006602236881,33.2776061821018,2731.303379857499,26567.535681
68,24.3,39.1,22.2534617002075,40.1025625630883,2875.951436269962,22874.516993
69,26.6,27.6,10.5555862885626,35.8672672676466,2188.489318546496,30215.363374
7,38.8,15.5,4.68280359213997,9.14617440954786,690.9369397079472,62535.374094
70,21.3,30.4,68.2132581272332,13.1117095573926,577.6574980157171,43537.909724
71,19.4,35.0,25.2419026015466,25.1686331311471,1673.4505025432304,45992.397076
72,44.8,15.5,50.254538522419,4.69124343795363,476.6340247526663,19826.532537
73,15.5,38.1,64.8556030826281,21.0760000505118,1196.7708173995063,26635.007753
74,30.5,28.3,62.7846679184914,4.64121749531659,319.4268563547861,19196.883036
75,28.8,34.1,32.3508556614186,11.8900495631657,974.8635996917752,21594.815938
76,32.7,36.6,75.7712840549324,13.2854038628253,1140.4509932935312,15655.21018
77,32.3,16.5,0.0015165122300944,13.1524016255391,510.2788392069225,48691.025555
9,39.3,28.3,26.3903188152609,3.5051456636979,238.29826680540296,11254.802798
