geo_id_label,period,data_value
35,2015-2019,18763.463356
36,2015-2019,4425.440249
37,2015-2019,2396.551147
38,2015-2019,22636.700945
39,2015-2019,14201.388739
4,2015-2019,42033.841869
40,2015-2019,10969.043052
41,2015-2019,22487.887103
42,2015-2019,22922.634445
1,2015-2019,52553.206784
11,2015-2019,27475.359833
12,2015-2019,19361.55814
13,2015-2019,18896.628476
14,2015-2019,49941.765631
15,2015-2019,64579.129015
16,2015-2019,53468.353559
17,2015-2019,43400.977557
18,2015-2019,14305.195008
19,2015-2019,78649.247667
2,2015-2019,78444.202314
20,2015-2019,23534.165997
21,2015-2019,38127.175225
22,2015-2019,72410.235757
23,2015-2019,55049.319577
24,2015-2019,84714.808339
25,2015-2019,93940.666333
26,2015-2019,16414.888906
27,2015-2019,18950.718601
28,2015-2019,63280.09464
29,2015-2019,32086.480035
3,2015-2019,53663.317254
30,2015-2019,72091.383081
31,2015-2019,33050.021824
33,2015-2019,19810.006139
34,2015-2019,13585.42411
10,2015-2019,38676.029693
8,2015-2019,84576.024332
32,2015-2019,35958.497534
43,2015-2019,43755.223524
44,2015-2019,31122.174153
45,2015-2019,9589.463276
46,2015-2019,28332.448885
47,2015-2019,1996.719897
48,2015-2019,12798.740461
49,2015-2019,39252.989495
5,2015-2019,35603.029202
50,2015-2019,6881.377037
51,2015-2019,15488.044697
52,2015-2019,23448.75298
53,2015-2019,26700.344133
54,2015-2019,7325.656375
55,2015-2019,9003.049938
56,2015-2019,37113.7674
57,2015-2019,13816.249237
58,2015-2019,44347.377613
59,2015-2019,15188.12425
6,2015-2019,90172.378144
60,2015-2019,34483.901503
61,2015-2019,39458.488229
62,2015-2019,18992.537247
63,2015-2019,37204.527625
64,2015-2019,25018.229401
65,2015-2019,31799.903511
66,2015-2019,51182.393421
67,2015-2019,26567.535681
68,2015-2019,22874.516993
69,2015-2019,30215.363374
7,2015-2019,62535.374094
70,2015-2019,43537.909724
71,2015-2019,45992.397076
72,2015-2019,19826.532537
73,2015-2019,26635.007753
74,2015-2019,19196.883036
75,2015-2019,21594.815938
76,2015-2019,15655.21018
77,2015-2019,48691.025555
9,2015-2019,11254.802798
35,2014-2018,18569.041984
36,2014-2018,4232.054738
37,2014-2018,2382.072325
38,2014-2018,23193.439827
39,2014-2018,13558.77
4,2014-2018,41642.093835
40,2014-2018,11354.93483
41,2014-2018,22609.521911
42,2014-2018,23140.929481
1,2014-2018,51985.015213
11,2014-2018,27961.497632
12,2014-2018,19069.826781
13,2014-2018,18434.722999
14,2014-2018,50474.746651
15,2014-2018,64936.447877
16,2014-2018,53601.709402
17,2014-2018,43990.581262
18,2014-2018,13851.247331
19,2014-2018,80741.164598
2,2014-2018,77194.756599
20,2014-2018,23543.647912
21,2014-2018,37918.914545
22,2014-2018,72820.163259
23,2014-2018,55842.0467
24,2014-2018,84253.740657
25,2014-2018,94982.423417
26,2014-2018,16943.82165
27,2014-2018,19741.443049
28,2014-2018,62849.548123
29,2014-2018,33869.156585
3,2014-2018,53226.524065
30,2014-2018,74861.506106
31,2014-2018,32628.265723
33,2014-2018,19484.53868
34,2014-2018,13768.807975
10,2014-2018,37905.750108
8,2014-2018,81566.715697
32,2014-2018,34990.447976
43,2014-2018,43021.509584
44,2014-2018,30810.328364
45,2014-2018,9660.057472
46,2014-2018,27463.282872
47,2014-2018,2323.971864
48,2014-2018,12940.395515
49,2014-2018,41199.293264
5,2014-2018,35767.84226
50,2014-2018,6859.982594
51,2014-2018,14720.420872
52,2014-2018,23972.409787
53,2014-2018,27137.586846
54,2014-2018,7231.495006
55,2014-2018,9116.961917
56,2014-2018,36372.202308
57,2014-2018,13178.413555
58,2014-2018,45227.642777
59,2014-2018,15927.251008
6,2014-2018,89422.567823
60,2014-2018,33832.510896
61,2014-2018,39499.663075
62,2014-2018,19199.775955
63,2014-2018,39001.19833
64,2014-2018,25777.417237
65,2014-2018,32089.494041
66,2014-2018,51850.101692
67,2014-2018,28462.230974
68,2014-2018,23745.171407
69,2014-2018,30871.507599
7,2014-2018,61994.132528
70,2014-2018,44160.608823
71,2014-2018,45362.697741
72,2014-2018,20470.043944
73,2014-2018,27247.601967
74,2014-2018,19348.88965
75,2014-2018,22225.163841
76,2014-2018,15414.729559
77,2014-2018,47993.621463
9,2014-2018,11714.229038
